,ESCS,MATH,predict
479697,0.67,561.62174,498.411718792
478482,-0.41,506.16138,462.461064743
476183,-0.23,476.48388,468.452840418
477798,0.38,615.13474,488.758302427
477327,0.95,625.26094,507.732258731
478906,-0.25,466.4356,467.787087565
476944,1.57,463.31984,528.370597166
479690,-1.89,442.5222,413.195353639
479785,0.06,471.96606,478.106256783
479987,0.15,501.48778,481.102144621
479507,1.73,507.25192,533.696619988
477655,-0.19,364.16106,469.784346124
478536,-0.2,462.463,469.451469697
480172,0.99,407.39212,509.063764436
476209,-0.47,375.68936,460.463806185
480109,-0.25,416.272,467.787087565
479473,-1.34,487.77846,431.50355709
480054,-1.77,468.30504,417.189870756
478489,0.16,471.42078,481.435021047
480005,-1.0,463.63142,442.821355587
479745,-0.99,405.67848,443.154232013
476260,1.0,487.389,509.396640863
479136,-0.46,341.4161,460.796682611
479971,1.21,335.65196,516.387045817
478976,1.19,454.9852,515.721292964
478708,1.21,517.6118,516.387045817
475978,-1.25,357.38432,434.499444927
479086,-1.88,424.06138,413.528230066
480331,0.94,473.8355,507.399382304
479932,0.38,520.49384,488.758302427
479214,-0.18,394.61752,470.11722255
480356,-0.25,429.66974,467.787087565
479736,-1.17,418.14146,437.162456338
479047,-0.25,391.2681,467.787087565
479940,-0.88,458.17886,446.815872703
478388,0.02,449.14316,476.774751078
477813,-0.39,522.83064,463.126817596
475777,-0.36,509.04346,464.125446875
479499,0.17,591.61086,481.767897473
475921,0.93,554.06604,507.066505878
478174,-0.49,589.35192,459.798053332
476067,0.9,437.38122,506.067876599
476487,0.79,527.11482,502.406235909
478387,0.11,489.18056,479.770638915
476502,0.05,474.7702,477.773380357
479528,0.41,589.04034,489.756931706
477927,1.79,652.52374,535.693878547
480208,1.41,524.70008,523.044574344
479727,0.04,449.53264,477.44050393
477782,0.35,559.67442,487.759673148
475637,-0.01,552.58606,475.776121798
479783,0.6,444.85902,496.081583808
477551,0.59,635.54292,495.748707381
477649,-0.89,360.81166,446.482996277
480388,1.62,437.84856,530.034979298
478885,-0.24,574.47422,468.119963992
477123,-0.32,619.10734,465.456952581
478507,0.11,341.2603,479.770638915
475727,0.92,380.44088,506.733629452
480451,0.6,463.00826,496.081583808
478837,-0.44,533.73576,461.462435464
477550,1.82,531.55476,536.692507826
476681,0.21,434.57704,483.099403179
479973,-0.05,485.909,474.444616093
479570,0.22,422.19194,483.432279605
478234,1.19,544.09566,515.721292964
475916,0.8,445.1706,502.739112335
476449,-1.23,491.2058,435.16519778
478752,-0.82,485.28588,448.813131262
476195,-0.56,562.16702,457.467918348
476831,0.93,538.79886,507.066505878
480206,0.84,541.75886,504.070618041
